subID,groupnr,condition,Lottery_TOT,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
AČB,4,0,6.333333333333333,5,6,7,6,7,7,23,0,5,1,4,1,4,1,1,1,3,3,1,3,1,3,1,4,3,2,3,1,1,1,3,1,1,4,2,2,1,1,1,3,2,1,1,1,1,1,4,2
AČC,4,0,7,7,7,7,7,7,7,23,0,5,2,4,1,3,1,1,1,4,2,1,2,2,4,2,3,4,2,4,1,1,1,3,1,1,5,3,2,1,1,1,3,4,1,1,1,1,1,6,4
ADA,5,0,7,7,7,7,7,7,7,22,1,3,1,2,2,1,1,1,3,3,3,2,2,1,4,2,5,5,3,5,2,1,1,3,1,1,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1
ADB,5,0,7,7,7,7,7,7,7,22,0,2,1,2,1,1,2,2,1,1,2,3,2,1,1,4,2,1,3,1,2,3,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,3,3,5,7
ADC,5,0,7,7,7,7,7,7,7,20,1,4,1,2,1,2,1,1,1,4,3,1,2,1,4,3,3,4,2,4,1,1,1,2,1,1,4,3,1,1,1,1,2,1,1,1,1,1,1,2,1
AĎA,6,0,6.333333333333333,6,6,7,6,6,7,22,0,4,1,2,1,3,1,3,1,3,1,1,4,2,3,3,3,4,2,4,3,1,3,3,1,1,4,4,3,1,1,1,3,4,1,2,1,3,4,2,1
AĎB,6,0,6.833333333333333,7,7,6,7,7,7,24,0,3,1,1,1,1,1,1,1,2,2,1,3,1,3,1,1,3,1,4,1,1,1,3,2,1,1,1,1,1,4,2,1,1,2,2,1,1,1,1,1
AĎC,6,0,6.166666666666667,7,6,6,6,6,6,23,1,4,1,3,2,3,1,1,1,3,3,1,1,1,2,1,3,3,1,4,1,1,1,3,1,1,3,2,2,1,1,1,1,3,1,1,1,1,1,4,3
AEA,7,0,6.333333333333333,6,5,6,7,7,7,21,0,3,4,2,2,2,2,1,1,1,1,2,3,4,2,4,1,2,4,1,1,1,1,3,1,1,3,2,3,1,1,2,2,2,1,1,1,1,1,5,5
AEB,7,0,6.333333333333333,4,7,6,7,7,7,22,0,2,1,3,3,1,1,2,1,2,1,2,4,1,1,5,2,4,3,3,4,4,4,2,5,2,5,2,3,3,3,1,3,5,5,3,3,2,4,3,2
AEC,7,0,7,7,7,7,7,7,7,27,1,4,1,3,1,3,1,1,1,4,4,1,2,1,3,1,5,5,1,4,1,1,2,2,1,1,5,3,2,1,2,1,1,4,1,1,1,1,1,5,5
AFA,8,0,3,7,7,1,1,1,1,23,1,4,2,3,2,3,1,1,1,4,3,1,2,1,3,2,4,4,2,3,2,2,2,3,2,1,4,3,3,1,1,1,2,4,1,1,1,1,1,5,5
AFB,8,0,2.3333333333333335,7,1,3,1,1,1,21,0,3,1,3,1,3,1,1,1,2,3,1,3,1,1,2,4,4,2,4,1,1,1,3,1,1,4,2,2,1,1,1,1,3,1,1,1,1,1,6,7
AFC,8,0,1,1,1,1,1,1,1,22,0,3,1,2,1,2,1,1,1,3,2,1,3,1,2,2,1,2,2,4,1,3,2,2,2,1,4,3,2,1,2,1,2,3,1,1,1,1,1,5,6
AGA,9,0,3,3,4,2,4,3,2,23,0,5,1,4,2,1,1,1,1,3,1,1,1,4,3,3,2,4,3,1,1,1,1,3,3,1,3,3,1,1,2,1,3,2,1,1,1,3,6,4,1
AGB,9,0,3.6666666666666665,4,3,2,1,5,7,22,0,4,2,3,1,3,1,2,1,2,2,1,3,1,1,2,3,4,3,2,2,1,1,3,2,1,4,2,1,1,1,1,1,2,1,1,1,1,1,3,4
AGC,9,0,3.8333333333333335,7,2,4,6,1,3,22,0,4,2,4,2,3,1,2,1,3,2,1,4,3,3,2,2,4,4,4,1,1,1,3,1,1,3,4,2,1,1,1,2,4,1,1,1,1,1,4,5
