subID,groupnr,condition,cooperation,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,groupgender,grouphomog,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
KGB,18,1,4.5,7,1,5,6,7,1,20,1,2,0,4,1,2,1,3,1,1,1,4,3,2,5,2,3,2,4,5,1,3,1,3,1,1,3,2,5,3,1,5,1,1,2,4,1,1,4,9,7,NA,NA
KGC,18,1,7,7,7,7,7,7,7,23,1,2,0,4,2,4,3,2,1,1,1,1,1,2,4,1,2,3,2,3,NA,2,1,1,1,2,3,1,5,3,1,4,3,1,2,3,1,1,3,7,6,NA,NA
KHA,19,1,4.333333333333333,4,2,4,5,6,5,20,0,1,0,3,1,3,1,5,1,2,1,5,4,1,4,2,4,2,5,5,1,4,2,2,3,2,1,1,5,4,2,2,1,1,2,4,1,1,2,7,6,NA,NA
KHB,19,1,4.333333333333333,4,3,6,4,4,5,21,0,1,0,3,3,3,3,3,2,2,1,2,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,1,3,2,3,2,1,1,2,3,2,1,1,6,6,NA,NA
KHC,19,1,5,7,1,7,4,4,7,20,1,1,0,3,2,2,3,4,2,2,4,2,4,4,4,1,4,4,4,4,3,3,3,1,1,1,2,1,3,1,1,4,1,1,1,2,2,1,4,8,7,NA,NA
KIA,20,1,3.5,2,1,7,3,6,2,23,0,0,1,3,1,4,2,4,1,1,1,4,4,1,2,1,4,2,3,3,2,3,1,2,1,3,3,2,4,3,2,3,2,1,2,3,1,2,1,3,5,NA,NA
KIB,20,1,2.8333333333333335,7,5,1,2,1,1,21,0,0,1,4,2,4,4,2,2,1,1,4,4,2,2,2,4,2,4,2,2,4,2,3,2,2,2,2,4,4,3,4,2,1,2,4,2,2,2,6,6,NA,NA
KIC,20,1,4,7,7,1,1,1,7,20,0,0,1,4,1,3,2,2,1,1,1,4,3,1,2,1,3,2,3,5,2,3,1,1,1,2,1,1,4,3,3,3,1,1,3,4,1,1,3,8,6,NA,NA
KJA,21,1,5.166666666666667,7,7,7,1,2,7,21,0,1,0,5,1,4,1,4,1,1,1,4,4,1,2,1,4,1,5,4,1,4,1,2,1,4,1,1,5,4,4,3,1,1,2,4,1,2,1,8,7,5,5
KJB,21,1,2.5,2,3,3,2,2,3,22,0,1,0,4,1,4,4,3,1,2,1,4,3,2,2,1,2,1,4,2,1,4,1,2,1,2,3,1,4,4,3,2,1,1,4,5,2,3,2,6,8,2,1
